variant_id,baseline,split,threshold,threshold_objective,score_min,score_max,score_mean,score_std,auroc,auprc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,negatives_true,positives_pred,negatives_pred,positive_rate_true,positive_rate_pred
pairwise_50_medium_unseen100,always_negative,train,fixed_all_negative,f1,0.0,0.0,0.0,0.0,0.5,0.25,0.25,4.029523987739585,0.25,0.75,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,4500,1500,6000,1500,4500,0,6000,0.25,0.0
pairwise_50_medium_unseen100,always_negative,valid,fixed_all_negative,f1,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285,2.3025851787083362,0.14285714285714285,0.8571428571428571,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,3000,500,3500,500,3000,0,3500,0.14285714285714285,0.0
pairwise_50_medium_unseen100,always_negative,test,fixed_all_negative,f1,0.0,0.0,0.0,0.0,0.5,0.1111111111111111,0.1111111111111111,1.79089960566204,0.1111111111111111,0.8888888888888888,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,4000,500,4500,500,4000,0,4500,0.1111111111111111,0.0
pairwise_50_medium_unseen100,exact_title_match,train,0.01,f1,0.0,0.0,0.0,0.0,0.5,0.25,0.25,4.029523987739585,0.25,0.75,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,4500,1500,6000,1500,4500,0,6000,0.25,0.0
pairwise_50_medium_unseen100,exact_title_match,valid,0.01,f1,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285,2.3025851787083362,0.14285714285714285,0.8571428571428571,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,3000,500,3500,500,3000,0,3500,0.14285714285714285,0.0
pairwise_50_medium_unseen100,exact_title_match,test,0.01,f1,0.0,0.0,0.0,0.0,0.5,0.1111111111111111,0.1111111111111111,1.79089960566204,0.1111111111111111,0.8888888888888888,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,4000,500,4500,500,4000,0,4500,0.1111111111111111,0.0
pairwise_50_medium_unseen100,bow_cosine,train,0.29000000000000004,f1,0.0,0.9882352941176469,0.22452792887679437,0.18534796375706564,0.7879953333333334,0.4711910345425176,0.4711910345425176,0.46401606937720696,0.15755430111299962,0.7266666666666667,0.6839999999999999,0.46384297520661155,0.5986666666666667,0.5227008149010477,0.7693333333333333,0.23066666666666666,0.4013333333333333,898,1038,3462,602,6000,1500,4500,1936,4064,0.25,0.32266666666666666
pairwise_50_medium_unseen100,bow_cosine,valid,0.29000000000000004,f1,0.0,0.9850908581755716,0.21592817000482745,0.18368818207133125,0.8094190000000001,0.34539136394807257,0.34539136394807257,0.35782124761348055,0.11315620702025912,0.7422857142857143,0.7255,0.3179347826086957,0.702,0.4376558603491272,0.749,0.251,0.298,351,753,2247,149,3500,500,3000,1104,2396,0.14285714285714285,0.31542857142857145
pairwise_50_medium_unseen100,bow_cosine,test,0.29000000000000004,f1,0.0,0.9948493344104264,0.23828625710114062,0.1911451538001406,0.74205375,0.22656806394235537,0.22656806394235537,0.3865794121662079,0.12065037968456992,0.6973333333333334,0.66875,0.21151271753681392,0.632,0.316950852557673,0.7055,0.2945,0.368,316,1178,2822,184,4500,500,4000,1494,3006,0.1111111111111111,0.332
pairwise_50_medium_unseen100,tfidf_cosine_word,train,0.21000000000000002,f1,0.0,0.9879793900182928,0.14121046179546967,0.1631305133219755,0.8375862222222222,0.5416763361682864,0.5416763361682864,0.4671501262253628,0.16168661676798038,0.7783333333333333,0.7077777777777778,0.5555555555555556,0.5666666666666667,0.5610561056105611,0.8488888888888889,0.1511111111111111,0.43333333333333335,850,680,3820,650,6000,1500,4500,1530,4470,0.25,0.255
