threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,negatives_true,positives_pred,negatives_pred,positive_rate_true,positive_rate_pred,score_min,score_max,score_mean,score_std,auroc,auprc,average_precision,log_loss,brier_score,split,predictor,decision_mode
0.66,0.8185,0.7607777777777778,0.6347540983606558,0.6453333333333333,0.64,0.8762222222222222,0.12377777777777778,0.3546666666666667,968,557,3943,532,6000,1500,4500,1525,4475,0.25,0.25416666666666665,0.0058436481894712,0.9937040990659328,0.39164802141883015,0.30687676534712244,0.8851822222222223,0.6911534618821266,0.6911534618821266,0.43375484564020356,0.14112400162169492,train,neural_only,invalid_blocks
0.66,0.8263333333333334,0.734,0.692436974789916,0.5493333333333333,0.6126394052044609,0.9186666666666666,0.08133333333333333,0.45066666666666666,824,366,4134,676,6000,1500,4500,1190,4810,0.25,0.19833333333333333,0.0058436481894712,0.9937040990659328,0.39164802141883015,0.30687676534712244,0.8851822222222223,0.6911534618821266,0.6911534618821266,0.43375484564020356,0.14112400162169492,train,governed,invalid_blocks
0.66,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,0.8703333333333333,0.12966666666666668,0.288,356,389,2611,144,3500,500,3000,745,2755,0.14285714285714285,0.21285714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,valid,neural_only,invalid_blocks
0.66,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,0.9206666666666666,0.07933333333333334,0.388,306,238,2762,194,3500,500,3000,544,2956,0.14285714285714285,0.15542857142857142,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,valid,governed,invalid_blocks
0.66,0.7904444444444444,0.731625,0.2984531392174704,0.656,0.41025641025641024,0.80725,0.19275,0.344,328,771,3229,172,4500,500,4000,1099,3401,0.1111111111111111,0.24422222222222223,0.0092951952708881,0.9981620572663652,0.3739731270374346,0.31144341269149445,0.8312185,0.3092723291520748,0.3092723291520748,0.582832806566003,0.1900855760210838,test,neural_only,invalid_blocks
0.66,0.85,0.7213750000000001,0.3803009575923393,0.556,0.4516653127538586,0.88675,0.11325,0.444,278,453,3547,222,4500,500,4000,731,3769,0.1111111111111111,0.16244444444444445,0.0092951952708881,0.9981620572663652,0.3739731270374346,0.31144341269149445,0.8312185,0.3092723291520748,0.3092723291520748,0.582832806566003,0.1900855760210838,test,governed,invalid_blocks
