model_name,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss
field_attention_neural_only,0.8528888888888889,0.744875,0.39453125,0.606,0.47791798107255523,303,465,3535,197,0.17066666666666666,0.87035275,0.48309629948036187,0.48309629948036187,0.11986099948169926,0.36501802074656675
field_attention_governed,0.8575555555555555,0.7335,0.4013986013986014,0.574,0.47242798353909465,287,428,3572,213,0.15888888888888889,0.87035275,0.48309629948036187,0.48309629948036187,0.11986099948169926,0.36501802074656675
structured_transformer_neural_only,0.8364444444444444,0.756625,0.36741573033707864,0.654,0.47050359712230216,327,563,3437,173,0.19777777777777777,0.8672365000000001,0.46029091414459644,0.46029091414459644,0.12020053848141872,0.36468100340784937
structured_transformer_governed,0.844,0.745125,0.37682926829268293,0.618,0.4681818181818182,309,511,3489,191,0.18222222222222223,0.8672365000000001,0.46029091414459644,0.46029091414459644,0.12020053848141872,0.36468100340784937
existing_scorer_neural_only,0.7904444444444444,0.731625,0.2984531392174704,0.656,0.41025641025641024,328,771,3229,172,0.24422222222222223,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003
existing_scorer_governed,0.85,0.7213750000000001,0.3803009575923393,0.556,0.4516653127538586,278,453,3547,222,0.16244444444444445,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003
