epoch,train_loss,valid_loss,valid_auroc,valid_auprc
1,1.0339358053207397,0.8797110078675406,0.8364426666666667,0.4695609866131606
2,0.9531443152427673,0.7463717967442104,0.8191266666666667,0.4133441626272648
3,0.7889036087989807,0.6152092314447676,0.8420026666666668,0.5107429197859659
4,0.7421532266934713,0.609252959387643,0.8633946666666665,0.5402406832281237
5,0.7125996759732565,0.5732380911282131,0.8712073333333332,0.555241111069377
6,0.6918634494145711,0.6189482062884739,0.8717286666666666,0.5557062173833615
7,0.6810702562332154,0.5594919313022069,0.8747180000000001,0.5664781748000046
8,0.66604612270991,0.5304552272387913,0.8762699999999999,0.5690789535066457
9,0.6619467622439067,0.5863698620115008,0.8776446666666666,0.5699388438304965
10,0.6611377183596293,0.5336595358848572,0.8794746666666668,0.5719439726110754
11,0.6535174361864726,0.5254109196662903,0.8788886666666667,0.5715726344643768
12,0.6514545590082804,0.5461833336012704,0.8805266666666667,0.5745597824439778
13,0.649188235759735,0.5256980534281049,0.8796720000000001,0.5733577135434621
14,0.651725881099701,0.5401689874785287,0.8813053333333334,0.5776257786237672
15,0.6493087120056152,0.533197059563228,0.880742,0.5754548818389674
16,0.6396699236234029,0.5320427863938468,0.881628,0.5752282831465627
