epoch,train_loss,valid_loss,valid_auroc,valid_auprc
1,1.014558321317037,0.7313879514421735,0.8200023333333333,0.39253538514688746
2,0.8203973757425944,0.6179986059325082,0.8435819999999999,0.4635041723301301
3,0.7410153574943542,0.5958677940368652,0.8586006666666666,0.5032115152674395
4,0.7223155706723531,0.6082951889038086,0.866266,0.5302192414635928
5,0.6987904221216837,0.5363255885669164,0.8722013333333333,0.5487412036391731
6,0.6902018823623657,0.6993022195952279,0.8769786666666667,0.5499988353271325
7,0.683647213935852,0.5333180205481393,0.880154,0.5658736269385887
8,0.6633880780537923,0.5345036674908229,0.8810846666666666,0.5585811377685538
9,0.663324533144633,0.6153260706492832,0.8827913333333333,0.5432442933619532
10,0.6819948051770528,0.5275750153405325,0.8806039999999999,0.5668103352033365
11,0.6695560946464538,0.5367019515037537,0.8787406666666667,0.5389394693861039
12,0.6566171620686849,0.5550678039959499,0.8833163333333334,0.5464927799404492
13,0.6550890413920084,0.5282708090373448,0.8844673333333334,0.5504799270820881
14,0.6495055314699809,0.5897089328765869,0.8835493333333334,0.5421122182261543
15,0.6607138231595358,0.5543877952439444,0.8863840000000001,0.5479567172287709
