split,rank,config_id,method,symbolic_profile,threshold,tau_high,precision,recall,f1,fp,fn,fp_reduction_rate,recall_loss_rate,governance_score
test,7,strict_two_threshold|profile=conservative|thr=0.60|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.6,0.95,0.4339963833634719,0.48,0.4558404558404558,313,260,0.6605206073752712,0.3442622950819672,0.5349050339137817
test,8,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.80,neuro_symbolic_strict_two_threshold,conservative,0.66,0.8,0.410828025477707,0.516,0.4574468085106383,370,242,0.5201037613488976,0.2134146341463415,0.5341190903112774
test,9,strict_two_threshold|profile=conservative|thr=0.60|tau_high=0.97,neuro_symbolic_strict_two_threshold,conservative,0.6,0.97,0.4392523364485981,0.47,0.4541062801932367,300,265,0.6746203904555315,0.3579234972677595,0.5332805034901796
test,10,strict_two_threshold|profile=conservative|thr=0.50|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.5,0.95,0.405320813771518,0.518,0.4547848990342406,380,241,0.6776929601357082,0.3682926829268292,0.5321349683364603
test,11,strict_two_threshold|profile=conservative|thr=0.50|tau_high=0.97,neuro_symbolic_strict_two_threshold,conservative,0.5,0.97,0.4090177133655394,0.508,0.4531668153434433,367,246,0.6887192536047498,0.3804878048780487,0.5302246775251186
test,12,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.90,neuro_symbolic_strict_two_threshold,conservative,0.66,0.9,0.433085501858736,0.466,0.4489402697495183,305,267,0.6044098573281452,0.2896341463414634,0.5276341974961888
test,13,invalid_blocks|profile=conservative|thr=0.70,neuro_symbolic_invalid_blocks,conservative,0.7,,0.4049459041731066,0.524,0.4568439407149084,385,238,0.4131097560975609,0.1353135313531352,0.5262929969010148
test,14,strict_two_threshold|profile=conservative|thr=0.70|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.7,0.95,0.4788732394366197,0.408,0.4406047516198704,222,296,0.6615853658536586,0.3267326732673267,0.5243179247664534
test,15,strict_two_threshold|profile=conservative|thr=0.70|tau_high=0.97,neuro_symbolic_strict_two_threshold,conservative,0.7,0.97,0.4877450980392157,0.398,0.4383259911894273,209,301,0.6814024390243902,0.3432343234323431,0.5228680200874392
test,16,invalid_blocks|profile=conservative|thr=0.60,neuro_symbolic_invalid_blocks,conservative,0.6,,0.3639575971731448,0.618,0.458117123795404,540,191,0.4143167028199566,0.1557377049180327,0.522761873270885
test,17,invalid_blocks|profile=conservative|thr=0.66,neuro_symbolic_invalid_blocks,conservative,0.66,,0.3803009575923393,0.556,0.4516653127538586,453,222,0.4124513618677042,0.1524390243902438,0.5166683971232238
test,18,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.66,0.95,0.4476987447698745,0.428,0.4376278118609407,264,286,0.6575875486381323,0.3475609756097561,0.5151344551180347
test,19,invalid_blocks|profile=conservative|thr=0.50,neuro_symbolic_invalid_blocks,conservative,0.5,,0.3366633366633366,0.674,0.4490339773484343,664,163,0.4368108566581849,0.1780487804878048,0.5137244963910294
test,20,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.97,neuro_symbolic_strict_two_threshold,conservative,0.66,0.97,0.4543478260869565,0.418,0.4354166666666667,251,291,0.6744487678339819,0.3628048780487805,0.513327639112967
