split,method,display_name,precision,recall,f1,fp,fn,tp,tn,threshold
valid,symbolic_only,symbolic-only,0.3621495327102804,0.62,0.45722713864306785,546,190,310,2454,n/a
test,symbolic_only,symbolic-only,0.2970195272353546,0.578,0.3923964697895451,684,211,289,3316,n/a
