threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,negatives_true,positives_pred,negatives_pred,positive_rate_true,positive_rate_pred,score_min,score_max,score_mean,score_std,auroc,auprc,average_precision,log_loss,brier_score,mean_symbolic_risk,median_symbolic_risk,mean_risk_accepted,mean_risk_rejected,num_nonzero_risk,nonzero_risk_rate,variant_id,run_name,split,symbolic_profile,config_id,mode,lambda_risk,rho,risk_normalization
0.5,0.7782857142857142,0.8089999999999999,0.3776595744680851,0.852,0.5233415233415234,0.766,0.234,0.148,426,702,2298,74,3500,500,3000,1128,2372,0.14285714285714285,0.3222857142857143,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.05460992907801419,0.08870151770657672,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=neural_only|thr=0.5,neural_only,0.0,,sum_weights
0.5,0.8385714285714285,0.7875,0.45838668373879643,0.716,0.5589383294301327,0.859,0.141,0.284,358,423,2577,142,3500,500,3000,781,2719,0.14285714285714285,0.22314285714285714,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.10003677822728943,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=hard_invalid_blocks|thr=0.5,hard_invalid_blocks,0.0,,sum_weights
0.6,0.8242857142857143,0.8033333333333333,0.43532058492688414,0.774,0.5572354211663066,0.8326666666666667,0.16733333333333333,0.226,387,502,2498,113,3500,500,3000,889,2611,0.14285714285714285,0.254,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.05035620547431571,0.08702923528660793,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=neural_only|thr=0.6,neural_only,0.0,,sum_weights
0.6,0.862,0.7761666666666667,0.513302034428795,0.656,0.5759438103599649,0.8963333333333333,0.10366666666666667,0.344,328,311,2689,172,3500,500,3000,639,2861,0.14285714285714285,0.18257142857142858,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.09507165326808809,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=hard_invalid_blocks|thr=0.6,hard_invalid_blocks,0.0,,sum_weights
0.66,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,0.8703333333333333,0.12966666666666668,0.288,356,389,2611,144,3500,500,3000,745,2755,0.14285714285714285,0.21285714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04778523489932885,0.0858076225045372,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=neural_only|thr=0.66,neural_only,0.0,,sum_weights
0.66,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,0.9206666666666666,0.07933333333333334,0.388,306,238,2762,194,3500,500,3000,544,2956,0.14285714285714285,0.15542857142857142,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.09201623815967523,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=hard_invalid_blocks|thr=0.66,hard_invalid_blocks,0.0,,sum_weights
0.7,0.8528571428571429,0.7583333333333333,0.48829953198127923,0.626,0.5486415425065732,0.8906666666666667,0.10933333333333334,0.374,313,328,2672,187,3500,500,3000,641,2859,0.14285714285714285,0.18314285714285714,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04570982839313572,0.08488982161594963,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=neural_only|thr=0.7,neural_only,0.0,,sum_weights
0.7,0.8774285714285714,0.7393333333333334,0.5747368421052632,0.546,0.56,0.9326666666666666,0.06733333333333333,0.454,273,202,2798,227,3500,500,3000,475,3025,0.14285714285714285,0.1357142857142857,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.08991735537190082,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=hard_invalid_blocks|thr=0.7,hard_invalid_blocks,0.0,,sum_weights
0.8,0.8688571428571429,0.7001666666666667,0.5484633569739953,0.464,0.5027085590465872,0.9363333333333334,0.06366666666666666,0.536,232,191,2809,268,3500,500,3000,423,3077,0.14285714285714285,0.12085714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.03443656422379827,0.08366374173978984,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=neural_only|thr=0.8,neural_only,0.0,,sum_weights
0.8,0.8802857142857143,0.6885,0.6194690265486725,0.42,0.5005959475566151,0.957,0.043,0.58,210,129,2871,290,3500,500,3000,339,3161,0.14285714285714285,0.09685714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.08604871875988611,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=hard_invalid_blocks|thr=0.8,hard_invalid_blocks,0.0,,sum_weights
