variant_id,experiment_name,iteration,split,decision_type,threshold,constraint_mode,score_threshold,hard_negative_weight,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss
pairwise_50_medium_unseen100,symbolic_hn_strong,1,test,neural_only,0.66,strong_only,0.66,3.0,0.8842222222222222,0.5131249999999999,0.3157894736842105,0.036,0.06463195691202872,18,39,3961,482,0.012666666666666666,0.814611,0.29396503876101227,0.29396503876101227,0.10098739337928896,0.3446982743188447
pairwise_50_medium_unseen100,symbolic_hn_strong,1,test,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8884444444444445,0.5155,0.47368421052631576,0.036,0.06691449814126393,18,20,3980,482,0.008444444444444444,0.814611,0.29396503876101227,0.29396503876101227,0.10098739337928896,0.3446982743188447
pairwise_50_medium_unseen100,symbolic_hn_strong,2,train,neural_only,0.66,strong_only,0.66,3.0,0.7625,0.5298888888888889,0.8151260504201681,0.06466666666666666,0.11982705373687462,97,22,4478,1403,0.019833333333333335,0.8409853333333334,0.6057661225045089,0.6057661225045089,0.1395254566692854,0.4256258181962133
pairwise_50_medium_unseen100,symbolic_hn_strong,2,train,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.7618333333333334,0.5281111111111111,0.8198198198198198,0.06066666666666667,0.11297330850403477,91,20,4480,1409,0.0185,0.8409853333333334,0.6057661225045089,0.6057661225045089,0.1395254566692854,0.4256258181962133
pairwise_50_medium_unseen100,symbolic_hn_strong,2,valid,neural_only,0.66,strong_only,0.66,3.0,0.8611428571428571,0.5423333333333333,0.5853658536585366,0.096,0.16494845360824742,48,34,2966,452,0.023428571428571427,0.8445146666666666,0.42271381141074055,0.42271381141074055,0.10245528486890028,0.35145260493827335
pairwise_50_medium_unseen100,symbolic_hn_strong,2,valid,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8645714285714285,0.541,0.7096774193548387,0.088,0.15658362989323843,44,18,2982,456,0.017714285714285714,0.8445146666666666,0.42271381141074055,0.42271381141074055,0.10245528486890028,0.35145260493827335
pairwise_50_medium_unseen100,symbolic_hn_strong,2,test,neural_only,0.66,strong_only,0.66,3.0,0.8806666666666667,0.521625,0.30927835051546393,0.06,0.10050251256281408,30,67,3933,470,0.021555555555555557,0.8190109999999999,0.2998424766190002,0.2998424766190002,0.10046267479815439,0.3370853865004171
pairwise_50_medium_unseen100,symbolic_hn_strong,2,test,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8875555555555555,0.52375,0.45161290322580644,0.056,0.099644128113879,28,34,3966,472,0.013777777777777778,0.8190109999999999,0.2998424766190002,0.2998424766190002,0.10046267479815439,0.3370853865004171
pairwise_50_medium_unseen100,symbolic_hn_strong,3,train,neural_only,0.66,strong_only,0.66,3.0,0.7666666666666667,0.5404444444444445,0.8048780487804879,0.088,0.15865384615384615,132,32,4468,1368,0.027333333333333334,0.8374622222222222,0.5978509208940784,0.5978509208940784,0.13979380077774983,0.42506074090227813
pairwise_50_medium_unseen100,symbolic_hn_strong,3,train,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.7663333333333333,0.5384444444444445,0.8266666666666667,0.08266666666666667,0.1503030303030303,124,26,4474,1376,0.025,0.8374622222222222,0.5978509208940784,0.5978509208940784,0.13979380077774983,0.42506074090227813
pairwise_50_medium_unseen100,symbolic_hn_strong,3,valid,neural_only,0.66,strong_only,0.66,3.0,0.8614285714285714,0.5491666666666667,0.5773195876288659,0.112,0.18760469011725292,56,41,2959,444,0.027714285714285716,0.841432,0.416283282592349,0.416283282592349,0.10304018465772938,0.35059986468180343
pairwise_50_medium_unseen100,symbolic_hn_strong,3,valid,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8654285714285714,0.5481666666666667,0.6933333333333334,0.104,0.1808695652173913,52,23,2977,448,0.02142857142857143,0.841432,0.416283282592349,0.416283282592349,0.10304018465772938,0.35059986468180343
pairwise_50_medium_unseen100,symbolic_hn_strong,3,test,neural_only,0.66,strong_only,0.66,3.0,0.8797777777777778,0.529875,0.3305785123966942,0.08,0.1288244766505636,40,81,3919,460,0.02688888888888889,0.817917,0.29916386558527197,0.29916386558527197,0.1014690225402451,0.33824458813843566
pairwise_50_medium_unseen100,symbolic_hn_strong,3,test,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8873333333333333,0.530625,0.45569620253164556,0.072,0.12435233160621761,36,43,3957,464,0.017555555555555557,0.817917,0.29916386558527197,0.29916386558527197,0.1014690225402451,0.33824458813843566
