threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,positive_rate_true,positive_rate_pred,auroc,auprc,split
0.66,0.8185,0.6347540983606558,0.6453333333333333,0.64,968,557,3943,532,0.25,0.25416666666666665,0.8851822222222223,0.6911534618821266,train
0.66,0.8477142857142858,0.4778523489932886,0.712,0.5718875502008032,356,389,2611,144,0.14285714285714285,0.21285714285714286,0.8873233333333334,0.5387649018266534,valid
0.66,0.7904444444444444,0.2984531392174704,0.656,0.41025641025641024,328,771,3229,172,0.1111111111111111,0.24422222222222223,0.8312185,0.3092723291520748,test
